"pID","app_num","text","title","p1group","app_order","p2final","p1initial","p1_betweenness","p1final","p2initial","word_cnt","funct","pronoun","ppron","i","we","you","shehe","they","ipron","article","verb","auxverb","past","present","future","adverb","preps","conj","negate","quant","number","swear","social","family","friend","humans","affect","posemo","negemo","anx","anger","sad","cogmech","insight","cause","discrep","tentat","certain","inhib","incl","excl","percept","see","hear","feel","bio","body","health","sexual","ingest","relativ","motion","space","time","work","achieve","leisure","home","money","relig","death","assent","nonfl","filler","r_sent.neg","r_sent.pos","r_sent.neut","Gender","Age","Edu","School","Race","Ego","SPP"
"DP257",46,"Artwork is quite ugly and is a game where islands are probably discovered and explored. Probably not much else to it and doesn't seem that fun.","Lambi Islands",1,2,3,2,"low",3,3,27,59.26,7.41,0,0,0,0,0,0,7.41,3.7,14.81,11.11,0,14.81,0,11.11,3.7,11.11,3.7,7.41,0,0,3.7,0,0,0,7.41,3.7,3.7,0,3.7,0,37.04,11.11,0,0,14.81,0,0,11.11,3.7,0,0,0,0,0,0,0,0,0,7.41,3.7,3.7,0,0,0,3.7,0,0,0,0,0,0,0,0.785673298,0.214326702,0.194563297,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",24,"I didn't like the part about how there was a book dragon since that seemed extremely odd. And the book worm phrase is such a cliche and one that is outdated at that.","Let Me Out",2,25,4,3,"high",2,4,34,64.71,11.76,2.94,2.94,0,0,0,0,8.82,11.76,11.76,8.82,5.88,5.88,0,11.76,8.82,8.82,0,5.88,2.94,0,0,0,0,0,0,0,0,0,0,0,17.65,2.94,5.88,0,2.94,2.94,0,5.88,0,0,0,0,0,0,0,0,0,0,2.94,0,2.94,0,5.88,0,5.88,0,0,0,0,0,0,0,0.810463237,0.189536763,0.181678189,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",52,"This game seemed pretty boring but since it operated within a few set rules I thought it could be easy to get the hang of and it would become more fun in time.","Triples",0,5,4,5,"high",5,4,33,60.61,15.15,3.03,3.03,0,0,0,0,12.12,6.06,21.21,12.12,6.06,6.06,3.03,0,15.15,6.06,0,6.06,0,0,3.03,0,0,0,12.12,9.09,3.03,0,0,0,27.27,9.09,3.03,6.06,6.06,0,0,3.03,3.03,0,0,0,0,0,0,0,0,0,15.15,3.03,6.06,3.03,0,0,9.09,0,0,0,0,0,0,0,0.543639575,0.456360425,0.145645561,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",67,"A game where lights go out and you move as far as you can and stop before the lights turn back on. Interesting at first but definitely not addicting.","Lights Off",1,13,3,2,"low",2,4,29,65.52,6.9,6.9,0,0,6.9,0,0,0,6.9,10.34,3.45,0,10.34,0,10.34,20.69,17.24,3.45,0,3.45,0,10.34,0,0,0,6.9,6.9,0,0,0,0,24.14,0,0,0,0,3.45,3.45,10.34,6.9,0,0,0,0,3.45,0,3.45,0,0,37.93,6.9,17.24,13.79,0,3.45,3.45,0,0,0,0,0,0,0,0.443904652,0.556095348,0.677454658,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",64,"Another maze game where you try to find the exit. Only used as a time killer, would be quite useful to have on your phone to kill time but nothing else.","Mazes",0,9,3,3,"low",3,3,31,58.06,6.45,6.45,0,0,6.45,0,0,0,6.45,16.13,9.68,3.23,6.45,3.23,6.45,16.13,6.45,3.23,6.45,0,0,12.9,0,0,0,9.68,3.23,6.45,0,6.45,0,16.13,3.23,3.23,3.23,3.23,0,0,0,3.23,0,0,0,0,0,0,0,0,0,16.13,0,9.68,6.45,0,3.23,3.23,0,0,0,6.45,0,0,0,0.745321231,0.254678769,0.730420803,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",75,"This app seemed really frightening to me since I just took a bio class and we saw a bunch of images of rats with tumors. I'm not sure if the general public would enjoy playing a game associated with that. ","Mice Run",1,24,3,3,"high",2,3,41,56.1,14.63,9.76,7.32,2.44,0,0,0,4.88,9.76,9.76,2.44,7.32,0,2.44,4.88,14.63,4.88,2.44,2.44,0,0,7.32,0,0,0,9.76,7.32,2.44,2.44,0,0,31.71,2.44,2.44,4.88,4.88,2.44,0,9.76,9.76,4.88,4.88,0,0,2.44,0,2.44,0,0,2.44,2.44,0,0,4.88,0,4.88,0,0,0,0,0,0,0,0.625562552,0.374437448,0.147061727,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",23,"Reminds me of Plants vs. Zombies which gave me a chuckle. Seems to be a fun game but again, won't catch my interest for extended periods of time.","Zombie Granny",0,3,3,3,"low",3,3,29,44.83,13.79,10.34,10.34,0,0,0,0,3.45,6.9,13.79,3.45,6.9,3.45,0,3.45,13.79,3.45,0,0,0,0,6.9,0,0,0,13.79,13.79,0,0,0,0,10.34,3.45,0,0,3.45,0,0,0,6.9,0,0,0,0,0,0,0,0,0,13.79,3.45,0,10.34,0,3.45,3.45,0,0,0,0,0,0,0,0.511805637,0.488194363,0.246683506,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",28,"Seems like a boring app that has a few stages that you have to pass. Not that interesting gameplay wise avoiding traps and stuff as it gets old.","The Pyramid",3,15,3,3,"low",3,4,28,53.57,21.43,3.57,0,0,3.57,0,0,17.86,7.14,14.29,7.14,0,14.29,0,0,7.14,7.14,3.57,3.57,0,0,7.14,0,0,0,14.29,7.14,7.14,3.57,0,0,14.29,3.57,0,0,3.57,0,3.57,3.57,3.57,0,0,0,0,0,0,0,0,0,7.14,3.57,0,3.57,0,0,3.57,0,0,0,0,0,0,0,0.785578725,0.214421275,0.153538191,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",63,"This game reminded me of mindsweeper a little bit, that and mario. I think mazes are pretty boring, especially since most games now are all about action.","Little Caves",3,20,3,3,"high",3,3,27,55.56,14.81,7.41,7.41,0,0,0,0,7.41,3.7,11.11,7.41,0,11.11,0,11.11,11.11,3.7,0,11.11,0,0,7.41,0,0,0,7.41,3.7,3.7,0,0,0,22.22,3.7,3.7,0,7.41,3.7,0,3.7,0,0,0,0,0,0,0,0,0,0,11.11,3.7,3.7,3.7,0,0,7.41,0,0,0,0,0,0,0,0.517465012,0.482534988,0.119389035,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",37,"I really liked this game since I just finished my class on biology and I still want to learn more about bacteria. I think bacteria are super interesting since they seem foreign but tiny as well","Glow Worm",0,7,5,5,"high",5,4,36,58.33,19.44,16.67,13.89,0,0,0,2.78,2.78,0,13.89,2.78,2.78,11.11,0,13.89,16.67,8.33,0,2.78,0,0,5.56,0,0,0,11.11,11.11,0,0,0,0,27.78,8.33,5.56,2.78,2.78,0,0,2.78,8.33,0,0,0,0,0,0,0,0,0,11.11,0,5.56,5.56,8.33,2.78,2.78,0,0,0,0,0,2.78,0,0.357895497,0.642104503,0.15943961,2,23,5,"Rutgers",6,0.767896782,3.09
